,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,status
25295,5085654,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,46.0,1
25296,5085655,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,2.0,0
25297,5085656,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,1.0,0
25298,5085657,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,6.0,0
25299,5085658,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,1.0,0
25300,5085659,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,46.0,1
25301,5085660,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37.0,4.0,1,0,0,0,Laborers,1.0,6.0,0
25306,5085665,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,45.0,14.0,1,0,0,0,Core staff,2.0,38.0,1
25307,5085666,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,47.0,1
25308,5085667,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,40.0,1
25309,5085668,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,24.0,0
25310,5085669,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,55.0,1
25311,5085670,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,16.0,0
25312,5085671,F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,5.0,1,0,0,0,Accountants,1.0,15.0,0
25314,5085676,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,33.0,1
25315,5085677,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,1.0,0
25316,5085678,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,1.0,0
25317,5085679,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,1.0,0
25318,5085680,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,49.0,1
25319,5085681,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Laborers,2.0,15.0,0
25320,5085682,M,Y,Y,0,337500.0,Commercial associate,Higher education,Married,House / apartment,51.0,21.0,1,0,0,0,Managers,2.0,14.0,0
25321,5085683,M,Y,Y,0,337500.0,Commercial associate,Higher education,Married,House / apartment,51.0,21.0,1,0,0,0,Managers,2.0,20.0,0
25323,5085684,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,9.0,1,0,0,0,Laborers,1.0,59.0,1
25324,5085687,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,9.0,1,0,0,0,Laborers,1.0,59.0,1
25325,5085688,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,9.0,1,0,0,0,Laborers,1.0,30.0,1
25326,5085689,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,9.0,1,0,0,0,Laborers,1.0,24.0,0
25331,5085696,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,0.0,1,0,0,0,Cooking staff,2.0,56.0,1
25332,5085697,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,0.0,1,0,0,0,Cooking staff,2.0,9.0,0
25333,5085698,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,0.0,1,0,0,0,Cooking staff,2.0,27.0,0
25334,5085699,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,56.0,0.0,1,0,0,0,Cooking staff,2.0,25.0,0
25338,5085705,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,35.0,1.0,1,0,0,0,Core staff,4.0,27.0,0
25339,5085706,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,58.0,1
25340,5085708,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,22.0,0
25341,5085711,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,32.0,1
25342,5085712,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,54.0,1
25343,5085713,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,9.0,0
25344,5085714,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,11.0,0
25345,5085716,F,N,Y,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,41.0,3.0,1,0,0,0,Laborers,2.0,27.0,0
25346,5085717,F,N,N,0,225000.0,Working,Higher education,Married,House / apartment,46.0,8.0,1,0,0,0,Managers,2.0,0.0,0
25352,5085726,F,N,Y,0,54000.0,State servant,Secondary / secondary special,Married,House / apartment,54.0,9.0,1,0,0,0,High skill tech staff,2.0,27.0,0
25357,5085731,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,6.0,0
25358,5085732,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,25.0,0
25359,5085734,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,60.0,2
25360,5085738,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,25.0,0
25361,5085739,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,36.0,1
25362,5085740,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,37.0,3.0,1,1,1,0,Laborers,1.0,20.0,0
25364,5085743,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,38.0,1.0,1,0,0,0,Medicine staff,3.0,25.0,0
25365,5085744,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,38.0,1.0,1,0,0,0,Medicine staff,3.0,50.0,1
25366,5085745,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,38.0,1.0,1,0,0,0,Medicine staff,3.0,55.0,1
25367,5085746,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,38.0,1.0,1,0,0,0,Medicine staff,3.0,37.0,1
25368,5085747,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,38.0,1.0,1,0,0,0,Medicine staff,3.0,57.0,1
25369,5085751,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,3.0,0
25370,5085752,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,10.0,0
25371,5085754,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,24.0,0
25372,5085755,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,8.0,0
25373,5085756,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,53.0,1
25374,5085757,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,40.0,1
25375,5085758,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.0,2.0,1,0,0,0,Core staff,3.0,8.0,0
25376,5085759,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,49.0,1
25377,5085761,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,17.0,0
25378,5085763,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,42.0,1
25379,5085764,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,41.0,1
25380,5085765,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,30.0,1
25381,5085766,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,30.0,1
25382,5085767,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,23.0,0
25383,5085768,M,Y,Y,1,405000.0,State servant,Higher education,Married,House / apartment,32.0,13.0,1,0,0,0,Managers,3.0,17.0,0
25385,5085769,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,1,0,0,0,Cleaning staff,2.0,10.0,0
25386,5085770,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,1,0,0,0,Cleaning staff,2.0,9.0,0
25387,5085771,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,1,0,0,0,Cleaning staff,2.0,4.0,0
25388,5085775,M,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,49.0,11.0,1,0,0,0,Managers,2.0,19.0,0
25389,5085776,M,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,49.0,11.0,1,0,0,0,Managers,2.0,58.0,1
25390,5085779,M,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,49.0,11.0,1,0,0,0,Managers,2.0,46.0,1
25391,5085780,M,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,49.0,11.0,1,0,0,0,Managers,2.0,7.0,0
25394,5085781,M,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,With parents,47.0,11.0,1,0,0,0,Sales staff,2.0,51.0,1
25395,5085786,M,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,With parents,47.0,11.0,1,0,0,0,Sales staff,2.0,7.0,0
25396,5085787,F,N,Y,3,157500.0,Working,Higher education,Married,House / apartment,39.0,1.0,1,0,0,0,Accountants,5.0,1.0,0
25397,5085788,F,N,Y,3,157500.0,Working,Higher education,Married,House / apartment,39.0,1.0,1,0,0,0,Accountants,5.0,25.0,0
25398,5085789,F,N,Y,3,157500.0,Working,Higher education,Married,House / apartment,39.0,1.0,1,0,0,0,Accountants,5.0,17.0,0
25399,5085790,F,N,Y,3,157500.0,Working,Higher education,Married,House / apartment,39.0,1.0,1,0,0,0,Accountants,5.0,5.0,0
25402,5085792,F,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,39.0,7.0,1,0,0,0,Drivers,2.0,35.0,1
25403,5085793,F,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,39.0,7.0,1,0,0,0,Drivers,2.0,57.0,1
25404,5085794,F,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,39.0,7.0,1,0,0,0,Drivers,2.0,14.0,0
25405,5085797,F,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,39.0,7.0,1,0,0,0,Drivers,2.0,9.0,0
25406,5085799,F,N,Y,0,126000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,22.0,1.0,1,0,0,0,Core staff,1.0,5.0,0
25407,5085800,F,N,Y,0,126000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,22.0,1.0,1,0,0,0,Core staff,1.0,5.0,0
25408,5085801,F,N,Y,0,126000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,22.0,1.0,1,0,0,0,Core staff,1.0,1.0,0
25409,5085802,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,50.0,1
25410,5085803,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,50.0,1
25411,5085806,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,8.0,0
25412,5085807,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,18.0,0
25413,5085808,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,33.0,1
25414,5085810,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,37.0,1
25415,5085811,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,53.0,1
25416,5085812,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,27.0,0
25417,5085813,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,58.0,1
25418,5085814,F,Y,Y,0,315000.0,State servant,Higher education,Married,House / apartment,54.0,3.0,1,0,0,1,Drivers,2.0,8.0,0
25429,5085830,M,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,6.0,1,0,0,0,Laborers,3.0,35.0,1
25430,5085831,M,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,6.0,1,0,0,0,Laborers,3.0,23.0,0
25432,5085832,F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,33.0,0.0,1,0,0,0,Sales staff,2.0,3.0,0
25433,5085833,F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,33.0,0.0,1,0,0,0,Sales staff,2.0,55.0,1
25434,5085834,F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,33.0,0.0,1,0,0,0,Sales staff,2.0,17.0,0
25435,5085835,F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,33.0,0.0,1,0,0,0,Sales staff,2.0,8.0,0
25437,5085836,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,38.0,1
25438,5085837,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,26.0,0
25439,5085838,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,50.0,1
25440,5085839,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,54.0,1
25441,5085840,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,42.0,1
25442,5085842,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,60.0,2
25443,5085843,M,Y,Y,1,135000.0,Working,Incomplete higher,Married,House / apartment,32.0,14.0,1,0,1,0,Laborers,3.0,15.0,0
25444,5085844,M,Y,Y,0,139500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,0.0,1,0,0,0,High skill tech staff,1.0,3.0,0
25452,5085852,F,N,Y,0,130500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,23.0,1.0,1,0,0,0,Accountants,1.0,9.0,0
25458,5085860,F,N,Y,1,121500.0,State servant,Higher education,Separated,House / apartment,39.0,4.0,1,0,1,0,Medicine staff,2.0,1.0,0
25459,5085861,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,29.0,0
25460,5085862,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,32.0,1
25461,5085863,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,9.0,0
25462,5085864,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,12.0,0
25463,5085865,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,50.0,1
25464,5085866,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,59.0,1
25465,5085867,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,32.0,1
25466,5085868,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,5.0,0
25467,5085869,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,1,0,0,0,Cleaning staff,2.0,12.0,0
25468,5085870,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,13.0,0
25469,5085871,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,43.0,1
25470,5085872,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,45.0,1
25471,5085873,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,40.0,1
25472,5085874,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,40.0,1
25473,5085875,M,Y,Y,0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,26.0,3.0,1,0,0,0,Laborers,2.0,7.0,0
25474,5085876,F,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,31.0,1,0,0,0,Private service staff,2.0,29.0,0
25475,5085878,F,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,31.0,1,0,0,0,Private service staff,2.0,28.0,0
25476,5085879,F,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,31.0,1,0,0,0,Private service staff,2.0,12.0,0
25477,5085880,F,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,31.0,1,0,0,0,Private service staff,2.0,3.0,0
25478,5085881,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.0,21.0,1,0,0,0,Laborers,2.0,50.0,1
25479,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,3.0,1,0,0,0,Managers,2.0,60.0,2
25481,5085887,F,Y,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,42.0,11.0,1,0,0,0,Managers,2.0,9.0,0
25482,5085888,F,Y,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,42.0,11.0,1,0,0,0,Managers,2.0,26.0,0
25483,5085889,F,Y,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,42.0,11.0,1,0,0,0,Managers,2.0,16.0,0
25484,5085890,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,17.0,0
25485,5085891,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,41.0,1
25486,5085892,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,14.0,0
25487,5085893,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,29.0,0
25488,5085894,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,0.0,0
25489,5085895,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,22.0,0
25490,5085896,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,22.0,1,0,1,0,Laborers,2.0,53.0,1
25492,5085898,F,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,14.0,1,0,0,0,Managers,2.0,7.0,0
25496,5085901,F,N,Y,2,243000.0,State servant,Higher education,Married,House / apartment,28.0,9.0,1,0,0,0,Core staff,4.0,15.0,0
25497,5085902,F,N,Y,2,243000.0,State servant,Higher education,Married,House / apartment,28.0,9.0,1,0,0,0,Core staff,4.0,6.0,0
25498,5085903,F,N,Y,2,243000.0,State servant,Higher education,Married,House / apartment,28.0,9.0,1,0,0,0,Core staff,4.0,37.0,1
25499,5085904,F,N,Y,2,243000.0,State servant,Higher education,Married,House / apartment,28.0,9.0,1,0,0,0,Core staff,4.0,37.0,1
25500,5085905,F,N,Y,2,243000.0,State servant,Higher education,Married,House / apartment,28.0,9.0,1,0,0,0,Core staff,4.0,25.0,0
25501,5085907,F,N,Y,3,67500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,9.0,1,0,0,0,Core staff,5.0,32.0,1
25502,5085908,F,N,Y,3,67500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,9.0,1,0,0,0,Core staff,5.0,3.0,0
25503,5085911,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,42.0,1
25504,5085912,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,27.0,0
25505,5085913,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,17.0,0
25506,5085914,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,12.0,0
25507,5085916,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,3.0,0
25508,5085922,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,17.0,0
25509,5085923,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,6.0,0
25510,5085927,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,44.0,1
25511,5085928,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,29.0,0
25512,5085929,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,12.0,0
25513,5085930,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,56.0,25.0,1,0,0,0,Core staff,1.0,7.0,0
25515,5085931,F,N,Y,0,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,30.0,8.0,1,0,0,0,Sales staff,2.0,2.0,0
25516,5085932,F,N,Y,0,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,30.0,8.0,1,0,0,0,Sales staff,2.0,13.0,0
25517,5085934,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,49.0,17.0,1,0,0,0,Sales staff,2.0,20.0,0
25518,5085936,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,49.0,17.0,1,0,0,0,Sales staff,2.0,55.0,1
25519,5085937,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,49.0,17.0,1,0,0,0,Sales staff,2.0,47.0,1
25521,5085938,F,N,Y,1,112500.0,Working,Higher education,Married,With parents,26.0,2.0,1,0,0,0,Core staff,3.0,15.0,0
25522,5085939,F,N,Y,1,112500.0,Working,Higher education,Married,With parents,26.0,2.0,1,0,0,0,Core staff,3.0,3.0,0
25523,5085944,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.0,5.0,1,0,1,0,High skill tech staff,1.0,21.0,0
25524,5085946,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.0,5.0,1,0,1,0,High skill tech staff,1.0,24.0,0
25525,5085947,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.0,5.0,1,0,1,0,High skill tech staff,1.0,6.0,0
25526,5085948,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.0,5.0,1,0,1,0,High skill tech staff,1.0,6.0,0
25527,5085949,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.0,5.0,1,0,1,0,High skill tech staff,1.0,7.0,0
25531,5085951,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.0,3.0,1,0,0,1,Drivers,1.0,14.0,0
25532,5085954,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,5.0,0
25533,5085955,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,51.0,1
25534,5085956,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,50.0,1
25535,5085957,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,31.0,1
25536,5085958,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,36.0,1
25537,5085959,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,18.0,0
25538,5085960,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,50.0,1
25539,5085961,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,18.0,0
25540,5085962,M,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,1.0,1,0,0,0,Laborers,2.0,13.0,0
